"","kdrama_name","platform"
"1","100 Days My Prince","WeTV"
"2","100 Days My Prince","Netflix"
"3","100 Days My Prince","KDRAMA"
"4","100 Days My Prince","Apple TV"
"5","100 Days My Prince","Viki"
"7","12 Years Promise","Viki"
"8","18 Again","WeTV"
"9","365: Repeat the Year","Viki"
"12","7 First Kisses","LDF"
"14","#Alive","Lululala Story Lab"
"15","#Alive","Viki"
"16","A Beautiful Mind","Viki"
"19","A Gentleman's Dignity","Viki"
"20","A Girl Who Sees Smells","Viki"
"21","A Girl Who Sees Smells","Netflix"
"23","A Hundred Year Legacy","Viki"
"24","A Korean Odyssey","Viki"
"25","A Korean Odyssey","Netflix"
"26","A Korean Odyssey","Apple TV"
"28","A Love So Beautiful","Kakao TV"
"29","A Love So Beautiful","Netflix"
"30","A Model Family","Netflix"
"31","A New Leaf","Viki"
"32","A Piece of Your Mind","Apple TV"
"33","A Piece of Your Mind","Viki"
"34","A Piece of Your Mind","WeTV"
"35","A Place in the Sun","KBS World"
"36","A Pledge to God","Viki"
"37","A Poem a Day","KDRAMA"
"38","A Superior Day","Viki"
"39","A Tale of Two Sisters","KBS World"
"43","A Witch's Love","Prime Video"
"44","A Witch's Love","Viki"
"45","A Witch's Love","Apple TV"
"46","A Witch's Love","AsianCrush"
"47","A-Teen 2","PlayList Global"
"48","A-Teen 2","WeTV"
"49","A-Teen 2","Viki"
"50","About Time","Apple TV"
"51","About Time","Viki"
"52","About Time","WeTV"
"53","About Time","Netflix"
"54","Abyss","Netflix"
"55","Ad Genius Lee Tae-baek","Viki"
"56","Adamas","Disney"
"57","Adamas","Disney Hotstar"
"58","Adult Trainee","TVING"
"61","Again My Life","Viki"
"64","Alchemy of Souls","Netflix"
"65","Alice","SBS World"
"66","Alice","Viki"
"67","All About My Mom","Viki"
"68","All About My Mom","KBS World"
"69","All About My Romance","SBS World"
"70","All About My Romance","Viki"
"72","All of Us Are Dead","Netflix"
"73","Alone in Love","SBS World"
"74","Amanza","Kakao TV"
"75","Amor Fati","Prime Video"
"76","Amor Fati","Viki"
"77","Andante","Viki"
"79","Angel Eyes","SBS World"
"80","Angel Eyes","Viki"
"82","Angel's Last Mission: Love","Viki"
"83","Angel's Last Mission: Love","Apple TV"
"84","Angel's Last Mission: Love","KBS World"
"85","Angel's Last Mission: Love","Prime Video"
"86","Angel's Revenge","KBS World"
"87","Angry Mom","Viki"
"88","Angry Mom","Netflix"
"90","Another Miss Oh","Disney Hotstar"
"91","Another Miss Oh","WeTV"
"92","Another Miss Oh","Netflix"
"93","Another Miss Oh","KDRAMA"
"97","Arang and the Magistrate","Viki"
"98","Are You Human?","Viki"
"99","Argon","Netflix"
"100","Arthdal Chronicles","Netflix"
"101","Artificial City","Viki"
"102","Artificial City","Netflix"
"103","Artificial City","TVING"
"106","Assembly","Viki"
"107","At Eighteen","WeTV"
"108","At Eighteen","Viki"
"109","At a Distance, Spring Is Green","Apple TV"
"110","At a Distance, Spring Is Green","Viki"
"112","Avengers Social Club","KDRAMA"
"113","Awaken","WeTV"
"114","Awaken","Viki"
"115","Babel","Viki"
"116","Baby Faced Beauty","Viki"
"117","Babysitter","Viki"
"119","Backstreet Rookie","Viki"
"120","Backstreet Rookie","Netflix"
"121","Bad and Crazy","TVING"
"124","Bad Guys 2","KDRAMA"
"125","Bad Guys 2","Netflix"
"128","Bad Thief, Good Thief","Viki"
"131","Band of Sisters","SBS World"
"132","Band of Sisters","Viki"
"135","Be Melodramatic","Disney Hotstar"
"136","Be Melodramatic","WeTV"
"137","Be Melodramatic","Apple TV"
"138","Be Melodramatic","Viki"
"139","Be My Dream Family","KBS World"
"140","Be My Dream Family","Viki"
"143","Beating Again","Apple TV"
"144","Beating Again","Viki"
"145","Beating Again","WeTV"
"148","Beautiful Gong Shim","Viki"
"149","Beautiful Love, Wonderful Life","KBS World"
"150","Beautiful Love, Wonderful Life","Viki"
"151","Beautiful World","Disney Hotstar"
"152","Beautiful World","Viki"
"153","Because This Is My First Life","Apple TV"
"154","Because This Is My First Life","Viki"
"155","Because This Is My First Life","WeTV"
"156","Because This Is My First Life","Netflix"
"157","Becky's Back","Viki"
"158","Becoming Witch","Netflix"
"159","Behind the White Tower","Viki"
"160","Bel Ami","Viki"
"161","Best Chicken","Viki"
"162","Beyond Evil","Disney Hotstar"
"163","Beyond Evil","WeTV"
"164","Beyond Evil","Netflix"
"165","Beyond Evil","Viki"
"167","Big","Viki"
"168","Big Issue","Apple TV"
"169","Big Issue","Viki"
"170","Big Man","KBS World"
"171","Big Mouth","Wavve"
"173","Birdie Buddy","AsianCrush"
"174","Birth of a Beauty","SBS World"
"175","Birth of a Beauty","Viki"
"176","Birth of a Beauty","Netflix"
"177","Birthcare Center","Viki"
"178","Birthcare Center","WeTV"
"180","Black","KDRAMA"
"181","Black","Netflix"
"182","Black Dog: Being A Teacher","Viki"
"183","Black Dog: Being A Teacher","Netflix"
"184","Black Knight","Netflix"
"185","Black Knight: The Man Who Guards Me","Viki"
"186","Black Knight: The Man Who Guards Me","Netflix"
"187","Blade Man","KBS World"
"188","Blade Man","Viki"
"191","Blood","Viki"
"192","Blood","Netflix"
"193","Blood","KBS World"
"195","Bloody Heart","Disney Hotstar"
"196","Bloody Heart","Disney"
"200","Blue Birthday","Viki"
"201","Blue Birthday","WeTV"
"203","Born Again","Viki"
"204","Bossam: Steal the Fate","Viki"
"205","Boys Over Flowers","Apple TV"
"206","Boys Over Flowers","Tubi"
"207","Boys Over Flowers","AsianCrush"
"208","Boys Over Flowers","iflix"
"209","Boys Over Flowers","Hulu"
"210","Boys Over Flowers","Viki"
"211","Boys Over Flowers","WeTV"
"212","Boys Over Flowers","Netflix"
"213","Brain","Viki"
"214","Bravo My Life","KBS World"
"215","Bravo, My Life","KBS World"
"217","Bridal Mask","Viki"
"218","Bride of the Century","Viki"
"220","Brilliant Heritage","Viki"
"221","Brilliant Legacy","Viki"
"222","Bring It On, Ghost","Viki"
"223","Bring It On, Ghost","KDRAMA"
"224","Bring It On, Ghost","WeTV"
"227","Bulgasal: Immortal Souls","TVING"
"228","Bulgasal: Immortal Souls","Netflix"
"229","Business Proposal","Netflix"
"230","Café Minamdang","Netflix"
"232","Can We Fall in Love, Again?","Viki"
"233","Can We Get Married?","Apple TV"
"234","Can We Get Married?","Viki"
"237","Capital Scandal","KBS World"
"238","Capital Scandal","Viki"
"241","Cheat on Me If You Can","Apple TV"
"242","Cheat on Me If You Can","Viki"
"245","Cheer Up, Mr. Kim!","KBS World"
"246","Cheese in the Trap","KDRAMA"
"247","Cheese in the Trap","Apple TV"
"248","Cheese in the Trap","Viki"
"249","Cheese in the Trap","WeTV"
"250","Cheongdam-dong Alice","SBS World"
"251","Cheongdam-dong Alice","Viki"
"254","Chicago Typewriter","Viki"
"255","Chicago Typewriter","WeTV"
"256","Chicago Typewriter","KDRAMA"
"257","Chicago Typewriter","Apple TV"
"258","Chief of Staff","Netflix"
"259","Children of a Lesser God","KDRAMA"
"260","Children of Nobody","Viki"
"261","Children of the 20th Century","Viki"
"262","Chimera","TVING"
"263","Chimera","Viki"
"264","Chip In","Viki"
"265","Choco Bank","Viki"
"266","Chocolate","Netflix"
"268","Cinderella with Four Knights","Apple TV"
"269","Cinderella with Four Knights","Tubi"
"270","Cinderella with Four Knights","Viki"
"271","Cinderella with Four Knights","Netflix"
"273","City Hunter","Apple TV"
"275","Class of Lies","Viki"
"276","Clean with Passion for Now","Apple TV"
"277","Clean with Passion for Now","iflix"
"278","Clean with Passion for Now","Viki"
"279","Clean with Passion for Now","WeTV"
"280","Clean with Passion for Now","Netflix"
"282","Coffee Prince","Apple TV"
"283","Coffee Prince","Viki"
"284","Coffee, Do Me a Favor","Viki"
"285","Color Rush","Apple TV"
"286","Color Rush","Viki"
"288","Come and Hug Me","Viki"
"289","Come Back Mister","SBS World"
"290","Come Back Mister","Viki"
"294","Cool Guys, Hot Ramen","Viki"
"295","Couple or Trouble","Viki"
"296","Crash Landing on You","Netflix"
"297","Crazy Love","Disney Hotstar"
"298","Crazy Love","Disney"
"300","Cross","KDRAMA"
"301","Cruel Love","TVING"
"302","Cruel Love","Netflix"
"303","Cunning Single Lady","Viki"
"304","Cunning Single Lady","Netflix"
"306","D.P.","Netflix"
"307","Dae Jang Geum","Viki"
"308","Dae Jang Geum Is Watching","Viki"
"309","Dae Jo-yeong","KBS Drama Classic"
"311","Dal-ja's Spring","Viki"
"312","Dali and Cocky Prince","Prime Video"
"313","Dali and Cocky Prince","Viki"
"314","Dali and Cocky Prince","Netflix"
"315","Damo","Viki"
"318","Dark Hole","Viki"
"319","Dark Hole","WeTV"
"322","Dear My Friends","Prime Video"
"323","Dear My Friends","Netflix"
"324","Dear My Friends","KDRAMA"
"325","Dear X Who Doesn't Love Me","Viki"
"326","Dear. M","Viki"
"327","Dear. M","WeTV"
"328","Deep Rooted Tree","Apple TV"
"329","Deep Rooted Tree","Viki"
"330","Deep Rooted Tree","Netflix"
"332","Delayed Justice","Apple TV"
"333","Delayed Justice","Viki"
"336","Descendants of the Sun","iflix"
"337","Descendants of the Sun","Apple TV"
"338","Descendants of the Sun","Hulu"
"339","Descendants of the Sun","Viki"
"340","Descendants of the Sun","WeTV"
"341","Designated Survivor: 60 Days","Netflix"
"342","Devilish Charm","Apple TV"
"343","Devilish Charm","Prime Video"
"344","Devilish Charm","Viki"
"345","Diary of a Night Watchman","Viki"
"346","Diary of a Prosecutor","Disney Hotstar"
"347","Diary of a Prosecutor","Hulu"
"348","Diary of a Prosecutor","Viki"
"349","Diary of a Prosecutor","iflix"
"351","Different Dreams","Viki"
"353","Discovery of Love","Viki"
"354","Discovery of Love","KBS Drama Classic"
"355","Discovery of Love","KBS World"
"356","Distorted","SBS World"
"357","Distorted","Viki"
"358","Distorted","Netflix"
"359","Divorce Lawyer in Love","SBS World"
"360","Divorce Lawyer in Love","Viki"
"361","Do Do Sol Sol La La Sol","Netflix"
"362","Do You Like Brahms?","Viki"
"363","Do You Like Brahms?","Netflix"
"364","Do You Like Brahms?","SBS World"
"365","Doctor Detective","Apple TV"
"366","Doctor Detective","Viki"
"367","Doctor John","Viki"
"368","Doctor John","Apple TV"
"369","Doctor Lawyer","Disney Hotstar"
"370","Doctor Prisoner","Viki"
"371","Doctor Prisoner","Apple TV"
"372","Doctor Stranger","WeTV"
"373","Doctor Stranger","Netflix"
"374","Doctor Stranger","Apple TV"
"375","Doctor Stranger","SBS World"
"376","Doctor Stranger","Viki"
"377","Dokgo Rewind","Viki"
"378","Don't Cry My Love","Viki"
"379","Don't Dare to Dream","Viki"
"380","Don't Dare to Dream","Netflix"
"381","Don't Dare to Dream","SBS VOD"
"382","Don't Hesitate","Viki"
"383","Don't Look Back: The Legend of Orpheus","Viki"
"384","Doom at Your Service","Prime Video"
"385","Doom at Your Service","Viki"
"386","Doom at Your Service","TVING"
"389","Dream High","Viki"
"390","Dream High","Netflix"
"391","Dream High 2","Viki"
"392","Dream High 2","Netflix"
"394","Drinking Solo","KDRAMA"
"395","Dr. Brain","Apple TV"
"398","Dr. Jin","Viki"
"401","Dr. Romantic","WeTV"
"402","Dr. Romantic","SBS VOD"
"403","Dr. Romantic","Viki"
"406","Eccentric! Chef Moon","Viki"
"408","Emergency Couple","KDRAMA"
"409","Emergency Couple","Apple TV"
"410","Emergency Couple","Viki"
"412","Empire of Gold","SBS World"
"413","Empire of Gold","Viki"
"414","Empress Ki","Viki"
"415","Empress Ki","Apple TV"
"416","Empress Ki","Prime Video"
"419","Encounter","Viki"
"420","Encounter","Netflix"
"421","Encounter","Hulu"
"422","Encounter","Apple TV"
"423","Endless Love","Viki"
"426","Entertainer","SBS World"
"427","Entertainer","Viki"
"430","Eve","Viki"
"433","Exo Next Door","LINE TV"
"434","Extracurricular","Netflix"
"435","Extraordinary Attorney Woo","Netflix"
"436","Extraordinary You","Viki"
"437","Extraordinary You","WeTV"
"440","Faith","Apple TV"
"441","Faith","Viki"
"442","Falling for Challenge","Viki"
"443","Familiar Wife","KDRAMA"
"444","Familiar Wife","Viki"
"445","Familiar Wife","WeTV"
"446","Familiar Wife","Netflix"
"450","Fantastic","Disney Hotstar"
"451","Fantastic","Viki"
"453","Fashion King","SBS World"
"454","Fashion King","Viki"
"456","Fates & Furies","Viki"
"458","Father's House","Viki"
"459","Feast of the Gods","Viki"
"460","Feel Good to Die","Viki"
"461","Fight for My Way","Apple TV"
"462","Fight for My Way","iflix"
"463","Fight for My Way","Viki"
"464","Fight for My Way","WeTV"
"465","Find Me in Your Memory","Viki"
"466","Find Me in Your Memory","Netflix"
"467","Find Me in Your Memory","Apple TV"
"470","First Love Again","Viki"
"471","First Wives' Club","SBS VOD"
"472","Five Enough","Prime Video"
"473","Five Enough","Viki"
"474","Five Enough","KBS World"
"475","Five Fingers","Viki"
"477","Flower Crew: Joseon Marriage Agency","Disney Hotstar"
"478","Flower Crew: Joseon Marriage Agency","Viki"
"479","Flower Crew: Joseon Marriage Agency","WeTV"
"480","Flower Crew: Joseon Marriage Agency","Netflix"
"482","Flower of Evil","Apple TV"
"483","Flower of Evil","Hulu"
"484","Flower of Evil","Viki"
"487","Flowers of the Prison","Viki"
"489","Forecasting Love and Weather","TVING"
"490","Forecasting Love and Weather","Netflix"
"491","Forest","Apple TV"
"492","Forest","Viki"
"494","Foundation of the Kingdom","KBS Drama Classic"
"498","From Now On, Showtime!","Viki"
"499","Full House Take 2","Viki"
"500","Gangnam Beauty","Disney Hotstar"
"501","Gangnam Beauty","WeTV"
"502","Gangnam Beauty","Netflix"
"503","Gangnam Beauty","Apple TV"
"504","Gangnam Beauty","iflix"
"505","Gangnam Beauty","Viki"
"508","Get Revenge","Viki"
"510","Ghost Doctor","Viki"
"511","Ghost Doctor","Netflix"
"512","Ghost Doctor","TVING"
"513","Girls' Generation 1979","Viki"
"514","Glamorous Temptation","Viki"
"518","Glitch","Netflix"
"522","Go Back","PlayList Global"
"524","Goddess of Fire","Viki"
"525","Goddess of Marriage","SBS World"
"526","Goddess of Marriage","Viki"
"527","God's Gift: 14 Days","SBS World"
"528","God's Gift: 14 Days","Viki"
"529","Gogh, The Starry Night","Viki"
"533","Golden Cross","Viki"
"536","Golden Rainbow","Viki"
"538","Golden Time","Viki"
"539","Good Casting","SBS World"
"540","Good Casting","Viki"
"541","Good Doctor","Viki"
"543","Good Manager","Viki"
"544","Goodbye Dear Wife","AsianCrush"
"545","Goodbye Dear Wife","Netflix"
"546","Goodbye Mr. Black","iWant TFC"
"547","Goodbye Mr. Black","Viki"
"550","Goodbye to Goodbye","Viki"
"551","Graceful Family","Viki"
"552","Graceful Friends","Disney Hotstar"
"553","Graceful Friends","Netflix"
"554","Gracious Revenge","KBS World"
"555","Grand Prince","Viki"
"556","Green Mothers' Club","TVING"
"557","Green Mothers' Club","Netflix"
"558","Grid","Disney Hotstar"
"559","Gu Family Book","Viki"
"560","Gu Family Book","Apple TV"
"561","Gu Family Book","Prime Video"
"563","Guardian: The Lonely and Great God","Apple TV"
"564","Guardian: The Lonely and Great God","iflix"
"565","Guardian: The Lonely and Great God","Viki"
"566","Gunman in Joseon","KBS World"
"567","Gunman in Joseon","Viki"
"568","Gwanggaeto, The Great Conqueror","KBS Drama Classic"
"569","Gyebaek","Viki"
"570","Haechi","Viki"
"571","Happiness","TVING"
"572","Happiness","Viki"
"573","Happiness","WeTV"
"574","Happiness","Netflix"
"579","He Is Psychometric","Viki"
"580","He Is Psychometric","WeTV"
"581","He Is Psychometric","KDRAMA"
"582","He Is Psychometric","Apple TV"
"583","Healer","Viki"
"584","Healer","Apple TV"
"585","Healer","Prime Video"
"586","Heard It Through the Grapevine","Viki"
"587","Heart Surgeons","SBS World"
"588","Heart Surgeons","Viki"
"590","Heartless City","Viki"
"591","Heartstrings","Viki"
"592","Hell Is Other People","Prime Video"
"593","Hell Is Other People","Netflix"
"594","Hell Is Other People","KDRAMA"
"595","Hellbound","Netflix"
"597","Hello Monster","Apple TV"
"598","Hello Monster","Viki"
"599","Hello, Me!","Netflix"
"600","Hello, My Twenties!","Prime Video"
"601","Hello, My Twenties!","Netflix"
"602","Hello, My Twenties!","Apple TV"
"603","Her Private Life","WeTV"
"604","Her Private Life","Netflix"
"605","Her Private Life","Apple TV"
"606","Her Private Life","Prime Video"
"607","Her Private Life","Viki"
"609","Here's My Plan","Wavve"
"610","Here's My Plan","Viki"
"612","Hi Bye, Mama!","Netflix"
"613","Hi! School: Love On","KBS World"
"614","Hi! School: Love On","Viki"
"615","Hi! School: Love On","Netflix"
"617","Hide and Seek","Apple TV"
"618","Hide and Seek","Viki"
"619","High Class","TVING"
"620","High Class","WeTV"
"621","High End Crush","Viki"
"624","High School King of Savvy","Apple TV"
"625","High School King of Savvy","Viki"
"626","High Society","SBS World"
"627","High Society","Viki"
"628","High Society","SBS VOD"
"630","Hit the Top","Viki"
"631","Hit the Top","Apple TV"
"632","Hogu's Love","AsianCrush"
"633","Hogu's Love","Prime Video"
"634","Hold Me Tight","Viki"
"636","Home for Summer","KBS World"
"637","Homemade Love Story","KBS World"
"638","Homemade Love Story","Viki"
"639","Homemade Love Story","Netflix"
"640","Hometown","TVING"
"641","Hometown","WeTV"
"642","Hometown","Netflix"
"643","Hometown Cha-Cha-Cha","TVING"
"644","Hometown Cha-Cha-Cha","Netflix"
"646","Hospital Playlist","Netflix"
"648","Hot Stove League","Viki"
"649","Hot Stove League","Netflix"
"650","Hotel del Luna","WeTV"
"651","Hotel del Luna","Netflix"
"652","Hotel del Luna","KDRAMA"
"653","Hotel del Luna","Apple TV"
"654","Hotel del Luna","Viki"
"657","House of Bluebird","KBS World"
"658","How Are U Bread","Viki"
"659","How Long I've Kissed","Viki"
"660","How to Be Thirty","Kakao TV"
"661","How to Be Thirty","Viki"
"662","How to Buy a Friend","Viki"
"668","Hwarang: The Poet Warrior Youth","WeTV"
"669","Hwarang: The Poet Warrior Youth","Netflix"
"670","Hwarang: The Poet Warrior Youth","Apple TV"
